phase,iteration,n_features,n_removed,train_auprc,val_auprc,train_val_gap,val_drop_from_baseline,timestamp,test_auprc,val_change_from_prev,test_change_from_prev,stop_triggered,stop_reason
phase1,baseline,172,0,0.0678225614825981,0.0599002598916365,0.0079223015909615,0.0,2026-01-27T17:15:07.075910,,,,,
phase1,cluster_reduction,144,28,0.0712930289779971,0.0727467396160857,-0.0014537106380885,-0.2144645072941127,2026-01-27T17:16:05.898279,,,,,
phase2,1,144,10,0.0712930289779971,0.0727467396160857,-0.0014537106380885,-0.2144645072941127,2026-01-27T17:17:06.098326,0.1022173204697462,0.0,0.0,False,
phase2,2,134,10,0.0790213075296744,0.0686225308365296,0.0103987766931447,-0.1456132404211965,2026-01-27T17:18:34.090107,0.1083732305171673,-0.0041242087795561,0.006155910047421,False,
phase2,3,124,10,0.0695140418559631,0.0508083159842933,0.0187057258716697,0.1517847155219542,2026-01-27T17:19:33.955730,0.1064813693519652,-0.0178142148522362,-0.001891861165202,False,
phase2,4,114,10,0.1057652612800586,0.0940161585762164,0.0117491027038421,-0.5695450862199555,2026-01-27T17:21:21.892472,0.1176386945609717,0.043207842591923,0.0111573252090064,False,
phase2,5,104,10,0.0753046660869234,0.0671944111811012,0.0081102549058221,-0.1217716133896625,2026-01-27T17:22:12.206357,0.1109534972101263,-0.0268217473951152,-0.0066851973508454,False,
phase2,6,94,5,0.107348522903019,0.0991015405407568,0.0082469823622622,-0.654442580383423,2026-01-27T17:23:33.935936,0.1213784711099648,0.0319071293596556,0.0104249738998385,False,
phase2,7,89,5,0.0531218759970325,0.042062647854262,0.0110592281427705,0.2977885583408811,2026-01-27T17:24:08.946334,0.0794197148235727,-0.0570388926864948,-0.0419587562863921,False,
phase2,8,84,5,0.0636002320022008,0.0510896856505867,0.0125105463516141,0.1470874125920112,2026-01-27T17:24:44.243714,0.0961152057216249,0.0090270377963247,0.0166954908980522,False,
phase2,9,79,5,0.10256991862078,0.0911902252110048,0.0113796934097752,-0.5223677722930387,2026-01-27T17:25:54.286504,0.1186548998889859,0.0401005395604181,0.022539694167361,False,
phase2,10,74,5,0.0690929763234069,0.057378733063792,0.0117142432596149,0.0420954238329875,2026-01-27T17:26:28.249264,0.1120257099966864,-0.0338114921472127,-0.0066291898922995,False,
phase2,11,69,5,0.0569796444451452,0.05292357910709,0.0040560653380551,0.1164716279556682,2026-01-27T17:26:58.153033,0.0949330555447933,-0.0044551539567019,-0.0170926544518931,False,
phase2,12,64,5,0.0986820387759141,0.0844873797977845,0.0141946589781296,-0.410467666594897,2026-01-27T17:27:54.977808,0.1159726256330601,0.0315638006906944,0.0210395700882668,False,
phase2,13,59,5,0.0720217677716246,0.0613464545197486,0.0106753132518759,-0.0241433781878135,2026-01-27T17:28:26.837751,0.1063656670434396,-0.0231409252780358,-0.0096069585896204,False,
phase2,14,54,4,0.0779007322315152,0.0624478806274415,0.0154528516040737,-0.0425310464497772,2026-01-27T17:29:03.554598,0.1055869093138267,0.0011014261076928,-0.0007787577296129,False,
phase2,15,50,5,0.0672339466953349,0.0532917303814291,0.0139422163139057,0.1103255565528875,2026-01-27T17:29:25.937968,0.0963055536299702,-0.0091561502460123,-0.0092813556838565,False,
phase2,16,45,5,0.059678725945087,0.0513656090431598,0.0083131169019271,0.1424810320341928,2026-01-27T17:29:47.477145,0.1038220484882239,-0.0019261213382693,0.0075164948582537,False,
phase2,17,40,3,0.0723113965448601,0.0620904731841639,0.0102209233606962,-0.0365643370577959,2026-01-27T17:30:10.013460,0.114553155252221,0.0107248641410041,0.010731106763997,False,
phase2,18,37,4,0.057303062666844,0.0452239136141086,0.0120791490527353,0.2450130651198899,2026-01-27T17:30:28.920489,0.0908926975523996,-0.0168665595700552,-0.0236604576998213,False,
phase2,19,33,0,0.057355352223381194,0.04445826239188688,0.012897089831494311,0.25779516696063187,2026-01-27T17:30:48.605294,0.09810420726409047,-0.0007656512222218095,0.007211509711690781,True,No features meet removal criteria
