phase,iteration,n_features,n_removed,train_auprc,val_auprc,train_val_gap,val_drop_from_baseline,timestamp,test_auprc,val_change_from_prev,test_change_from_prev,stop_triggered,stop_reason
phase2,1,142,10,0.0674023524768398,0.0732171861078014,-0.0058148336309616,-0.1266346759969163,2026-02-01T19:48:44.630209,0.0640326182422088,0.0,0.0,False,
phase2,2,132,10,0.0661428995925071,0.0783616822715333,-0.0122187826790261,-0.2057959778265132,2026-02-01T20:08:39.627361,0.0632575098562032,0.0051444961637318,-0.0007751083860055,False,
phase2,3,122,10,0.0539608186407899,0.0643817191157637,-0.0104209004749738,0.0093217028401444,2026-02-01T20:28:57.506915,0.0368559285930284,-0.0139799631557695,-0.0264015812631748,False,
phase2,4,112,10,0.0816517247877603,0.1031816638799929,-0.0215299390922326,-0.587715215975393,2026-02-01T20:47:12.807010,0.1345209152025613,0.0387999447642291,0.0976649866095329,False,
phase2,5,102,10,0.0738092416344654,0.0832612895330596,-0.0094520478985942,-0.2811890341982011,2026-02-01T21:05:32.296620,0.0864307503589861,-0.0199203743469332,-0.0480901648435751,False,
phase2,6,92,5,0.0429864538325029,0.0547688238258142,-0.0117823699933112,0.157240815088445,2026-02-01T21:24:11.355715,0.049970818783359,-0.0284924657072454,-0.0364599315756271,False,
phase2,7,87,5,0.067866972449531,0.0658958236683595,0.0019711487811714,-0.0139766890091075,2026-02-01T21:43:16.408561,0.0650413984500469,0.0111269998425453,0.0150705796666879,False,
phase2,8,82,5,0.0809655084565637,0.0780048220276517,0.0029606864289119,-0.2003047653583126,2026-02-01T22:03:03.452449,0.0729041282932182,0.0121089983592922,0.0078627298431712,False,
phase2,9,77,5,0.0544689452507409,0.0592653297965306,-0.0047963845457897,0.0880505085943176,2026-02-01T22:21:06.407059,0.049773059784615,-0.018739492231121,-0.0231310685086032,False,
phase2,10,72,5,0.0950424490299708,0.0861831231695831,0.0088593258603877,-0.3261489577816439,2026-02-01T22:40:26.970795,0.0769806107775596,0.0269177933730524,0.0272075509929446,False,
phase2,11,67,5,0.0967153411051374,0.0912370068297169,0.0054783342754204,-0.4039159532460372,2026-02-01T22:59:56.901380,0.0815782773781816,0.0050538836601338,0.0045976666006219,False,
phase2,12,62,5,0.0422125198392154,0.050664453816483,-0.0084519339772676,0.2203971014940152,2026-02-01T23:16:59.174302,0.0761760876300073,-0.0405725530132338,-0.0054021897481743,False,
phase2,13,57,5,0.0913559671859173,0.0810178829768314,0.0103380842090858,-0.2466684557252157,2026-02-01T23:35:19.787788,0.0749112863392178,0.0303534291603483,-0.0012648012907894,False,
phase2,14,52,5,0.0430665361623672,0.0469167850602145,-0.0038502488978472,0.2780646219139582,2026-02-01T23:51:20.786907,0.050244910269042,-0.0341010979166169,-0.0246663760701758,False,
phase2,15,47,5,0.0473381070470223,0.062901358480657,-0.0155632514336347,0.0321008577510746,2026-02-02T00:06:06.623506,0.0524475156792089,0.0159845734204425,0.0022026054101668,False,
phase2,16,42,5,0.070668499145597,0.0753878593214074,-0.0047193601758103,-0.1600360649700656,2026-02-02T00:19:47.109420,0.091298760466164,0.0124865008407503,0.0388512447869551,False,
phase2,17,37,2,0.0787444165236774,0.0695157963707764,0.009228620152901,-0.0696792772880444,2026-02-02T00:33:51.768996,0.069023167658159,-0.005872062950631,-0.0222755928080049,False,
phase2,18,35,5,0.0577841397114,0.0548989964610492,0.0028851432503508,0.1552377743746744,2026-02-02T00:46:34.799947,0.06699502480781,-0.0146167999097272,-0.002028142850349,False,
phase2,19,30,4,0.0495357019745727,0.051544041602641,-0.0020083396280682,0.206862381667309,2026-02-02T00:58:34.719299,0.0566679803937546,-0.0033549548584081,-0.0103270444140554,False,
phase2,20,26,0,0.0361779439986262,0.0402772403874802,-0.004099296388854,0.3802310893621791,2026-02-02T01:10:02.273422,0.0353078530051089,-0.0112668012151607,-0.0213601273886456,True,Would go below 25 features
phase2,1,143,10,0.1071139051133247,0.1052397959574441,0.0018741091558806,-0.4254178289931967,2026-02-02T18:04:39.768990,0.0979834017368573,0.0,0.0,False,
phase2,2,133,10,0.0548424601449065,0.0568643119757842,-0.0020218518308777,0.2298027244704025,2026-02-02T18:05:40.517799,0.0475364186183598,-0.0483754839816598,-0.0504469831184974,False,
phase2,3,123,10,0.0601423300154683,0.0600840587496977,5.827126577061248e-05,0.1861929434495855,2026-02-02T18:06:37.420094,0.0417896205178396,0.0032197467739134,-0.0057467981005202,False,
phase2,4,113,10,0.0743028913327401,0.0698976066774381,0.0044052846553019,0.0532735848113669,2026-02-02T18:07:53.088030,0.0622000873680383,0.0098135479277404,0.0204104668501987,False,
phase2,5,103,10,0.0781030139241155,0.0767252905949809,0.0013777233291345,-0.0392038121491053,2026-02-02T18:09:00.423245,0.0734848072866075,0.0068276839175428,0.0112847199185691,False,
phase2,6,93,5,0.0997765276969651,0.0981543402699592,0.0016221874270059,-0.3294490486321421,2026-02-02T18:10:51.484937,0.0927802099343375,0.0214290496749782,0.01929540264773,False,
phase2,7,88,5,0.0709587740937032,0.0698020633505549,0.0011567107431483,0.0545676690533745,2026-02-02T18:11:46.442793,0.0621967754320258,-0.0283522769194043,-0.0305834345023116,False,
phase2,8,83,5,0.067304130140572,0.0625897907370275,0.0047143394035444,0.1522541181513801,2026-02-02T18:12:26.360781,0.0576686898287069,-0.0072122726135274,-0.0045280856033189,False,
phase2,9,78,5,0.0718773436808167,0.0704195457325809,0.0014577979482357,0.046204194111016,2026-02-02T18:13:04.952836,0.0658911023930963,0.0078297549955533,0.0082224125643894,False,
